name,about,email,address,city,pcode,state,country,busph,faxph
Bushland Beach Medical Centre,,manager@bushlandbeachmedical.com.au,2/367 Mount Low Parkway,BUSHLAND BEACH,4818.0,QLD,Australia,4788 9444,4788 9774
Cairns Base Hospital,,,165 Esplande,CAIRNS NORTH,4870.0,QLD,Australia,07 4226 0000,07 4031 1168
Cairns Central Medical Centre,,reception@ccmedical.com.au,1-21 McLeod Street,CAIRNS,4870.0,QLD,Australia,40313717,40315483
Cairns Doctors,,info@cairns-doctors.com.au,2/532 Mulgrave Road,EARLVILLE,4870.0,QLD,Australia,4242 5300,4242 5353
Cairns Family Medical Centre,,manager@cairnsmedicalcentre.com.au,120-124 Mulgrave Road,CAIRNS,4870.0,QLD,Australia,,4031 1072
Cairns Hinterland Hosptial Health Service,,CairnsCommunityRehab_referrals@health.qld.gov.au,381 Sheridan Street,CAIRNS,4870.0,QLD,Australia,4226 4550,4226 4548
Cairns West Medical Centre,,admin@cairnswestmedical.com.au,"Shop 6, 114 Hoare Street",MANUNDA,4870.0,QLD,Australia,4053 3399,4053 3989
Caneland Medical Centre,,support@canelandmedical.com.au,"Shop 2126, Caneland Central, 2 Mangrove Road",MACKAY,4740.0,QLD,Australia,4953 4333,4953 4272
Cannonvale Medical Services,,reception@cannonvalemedicalcentre.com.au,7/230 Shute Harbour Road,CANNONVALE,4802.0,QLD,Australia,4948 0041,4948 0042
Cardwell Family Practice Pty Ltd,,,226 Victoria Street,Cardwell,4849.0,QLD,Australia,,4066 8864
Caresouth Wollongong,,info@caresouth.org.au,2 Matilda Way,BERKELEY,2506.0,NSW,Australia,1300 554 260,
Carlyle Medical Centre,,reception@carlylemedical.com.au,60 Beck Drive North,CONDON,4815.0,QLD,Australia,4723 1777,4723 7666
Cassowary Area Community Health,,,Cook Street,TULLY,4854.0,QLD,Australia,,4068 4150
Castle Hill Medical Centre,,chmc@chmc.com.au,5/272 Dohles Rocks Road,MURRUMBA DOWNS,4503.0,QLD,Australia,07 3886 5100,07 3886 5300
Cathy M Reto Pty Ltd,,,22 Brodie Street,HUGHENDEN,4821.0,QLD,Australia,,47411085
Charters Towers Community Mental Health Services,,,137-139 Gill Street,CHARTERS TOWERS,4820.0,QLD,Australia,4787 0342,4787 7632
Charters Towers Health Service,,,137-139 Gill Street,CHARTERS TOWERS,4820.0,QLD,Australia,4787 0333,4787 3255
Charters Towers Medical Centre,,wandah@charterstowersmedicalcentre.com.au,50 Gill Street,CHARTERS TOWERS,4820.0,QLD,Australia,4787 7339,4787 7995
Child And Youth Mental Health Rockhampton,,,Quarry Street,ROCKHAMPTON,4700.0,QLD,Australia,,
Child And Youth Mental Health Services,,,82 Sagaukaz Street,BAMAGA,4876.0,QLD,Australia,4090 4270,
Child Safety Service Centre - Aitkenvale,,,71-77 Patrick Street,AITKENVALE,4814.0,QLD,Australia,4796 6400,4796 6401
Child Safety Service Centre - Bowen,,,60-62 Williams Street,BOWEN,4805.0,QLD,Australia,4761 3740,4761 3764
Child Safety Service Centre - Townsville,,,"State Govt Building, 187-209 Stanley Street",TOWNSVILLE,4810.0,QLD,Australia,4799 7900,4799 7921
Child Youth And Family Health Services,,,PO Box 1596,THURINGOWA CENTRAL,4817.0,QLD,Australia,4433 9000,4433 9001
Child Youth Mental Health - Mackay,,,12-14 Nelsen Street,MACKAY,4740.0,QLD,Australia,4968 3893,4968 3894
Child Youth Mental Health Services,,,2 Chippendale Street,AYR,4807.0,QLD,Australia,4783 0890,4783 0758
Childers Medical Centre,,childershealth@bigpond.com,66 Churchill Street,CHILDERS,4660.0,QLD,Australia,4126 2922,4126 3925
Churches Of Christ,,,110b Wood Street,MACKAY,4740.0,QLD,Australia,4953 6100,4953 2038
Churches Of Christ Care - Families Together - Isaac Region,,,9 Belyando Avenue,MORANBAH,4744.0,QLD,Australia,4953 6100,
Churches Of Christ Care - Townsville,,,4 Ronan Street,VINCENT,4814.0,QLD,Australia,4771 8888,
City Superclinic Mackay,,city@gpsclinic.com.au,160 Boundary Road,OORALEA,4740.0,QLD,Australia,4952 4929,4952 2614
Clermont Doctors Surgery,,reception@clermontdoctors.com.au,24 Francis Street,CLERMONT,4721.0,QLD,Australia,4983 1801,4983 3740
Collinsville Family Practice,,reception@collinsvillefp.com.au,81-91 Garrick Street,COLLINSVILLE,4804.0,QLD,Australia,4785 6429,4785 6428
Collinsville Multi-Purpose Health Service,,,81 - 91 Garrick Street,COLLINSVILLE,4804.0,QLD,Australia,4785 4777,4785 4799
Columba Catholic College,,office@columba.catholic.edu.au,PO Box 274,CHARTERS TOWERS,4820.0,QLD,Australia,4787 1744,4787 4986
Community Mental Health,,,12-14 Nelson Street,MACKAY,4740.0,QLD,Australia,49683 893,4968 3894
Community Mental Health Service,,,137-139 Gill Street,CHARTERS TOWERS,4820.0,QLD,Australia,4787 0342,4787 7632
"Community Services, Weipa Hospital",,,Lot 407 John Evans Drive,WEIPA,4874.0,QLD,Australia,4082 3779,4082 3799
Community Solutions - Mackay,,,70 Sydney Street,MACKAY,4740.0,QLD,Australia,4841 8888,4957 3456
Community Solutions - Torgas,,,439 Bayswater Road,GARBUTT,4814.0,QLD,Australia,4759 0000,4759 0011
Community Solutions Cairns,,,37 Hoare Street,CAIRNS,4870.0,QLD,Australia,,
Community Wellness Centre Thursday Island,,,163 Douglas Street,THURSDAY ISLAND,4875.0,QLD,Australia,0740306026,0740306101
Concordia Medical,,concordiamedical@westnet.com.au,2/33 Evans Avenue,MACKAY NORTH,4740.0,QLD,Australia,4957 5177,4957 5033
Concordia Medi-Clinic,,,2/33 Evans Avenue,NORTH MACKAY,4740.0,QLD,Australia,4957 5177,4957 5033
Connect To Wellbeing - Mackay,,contact@connecttowellbeing.org.au,"Suite 4, 237 Shakespeare Street",MACKAY,4740.0,QLD,Australia,1300 020 390,4829 4424
Cooktown Medical Centre,,reception@cooktownmedical.com.au,45 Helen Street,COOKTOWN,4895.0,QLD,Australia,07 4069 5211,07 4069 5487
Cootharinga North Queensland,,,1/200 Scott Street,Bunglow,4870.0,QLD,Australia,,40367991
Coral Coast Medical Surgery,,,"Suite 3, 34-36 Herbert Street",BOWEN,4805.0,QLD,Australia,4786 4444,4786 4060
Corinda State High School,,,46 Pratten Street,CORINDA,4075.0,QLD,Australia,3379 0222,
Cranbrook Medical,,reception@cranbrookmedical.com.au,403 Ross River Road,CRANBROOK,4814.0,QLD,Australia,4725 7677,4725 7622
Cwc,,,163 Douglas Street,THURSDAY ISLAND,4875.0,QLD,Australia,,
Department Of Child Safety,,,161 Bazaar Street,MARYBOROUGH,4650.0,QLD,Australia,4122 5400,4122 5401
Department Of Education And Training - North Queensland Region,,sharon.cook@dete.qld.gov.au,254 Ross River Road,AITKENVALE,4814.0,QLD,Australia,1800 210 210,3259 8726
Diabetic Gp Clinic,,admin@diabeticgp.com.au,"Suiter 14, The Hyde Park Centre, 36 Kings Road",HYDE PARK,4812.0,QLD,Australia,4724 0700,4724 5459
Douglas Family Medical Centre,,admin@douglasfamilymedical.com.au,"Shop 110, 228-244 Riverside Boulevard",DOUGLAS,4814.0,QLD,Australia,4779 2480,4725 0188
Dr Foreman Pty Ltd,,,Suite 3/42 Ross River Road,MUNDINGBURRA,4812.0,QLD,Australia,4779 8889,4740 4000
Drugarm,,,"Unit 1, 57 Wood Street",MACKAY,4740.0,QLD,Australia,4944 1173,4944 0058
Dysart Medical Centre,,dmcnurses@hotmail.com,30 Queen Elizabeth Drive,DYSART,4745.0,QLD,Australia,,49582255
Eastbrooke Ambrose Family Medical,,reception.mackay@eastbrookemedical.com.au,11-13 Peel Street,MACKAY,4740.0,QLD,Australia,4944 9500,4944 9599
Eastbrooke Family Clinic Townsville,,,"Building 1, Ground Level, Tenancy 1, 86 Thuringowa Drive",THURINGOWA CENTRAL,4817.0,QLD,Australia,4434 5000,4434 5099
Emerald Medical Group,,enquiries@chhealth.com.au,PO Box 1844,EMERALD,4720.0,QLD,Australia,07 4986 7400,07 4982 4139
Emerald Surgery,,emerald@saomh.com.au,PO Box 88,EMERALD,4720.0,QLD,Australia,07 4982 1677,07 4982 4323
Endeavour Medical Cairns,,,26/32-36 Alfred Street,Manunda,,QLD,Australia,4053 2255,4053 2256
Evolve Therapeutic Services,,,138 Thuringowa Drive,KIRWAN,4817.0,QLD,Australia,4433 9004,4433 9001
Fairfield Central Medical Practice,,reception@fcmedical.com.au,"Fairfield Central Shopping Centre, 2-30 Lakeside Drive",IDALIA,4811.0,QLD,Australia,4778 2211,4778 4383
Fairfield Waters Medical Centre,,,2/15-23 Kokoda Street,IDALIA,4811.0,QLD,Australia,4778 4581,4778 1815
Family And Child Connect,,,111 Charters Towers Road,HERMIT PARK,4812.0,QLD,Australia,133 264,4421 8395
Family Practice At Ayr,,familypractice.ayr@australiandoctors.com.au,10 Cameron Street,AYR,4807.0,QLD,Australia,4783 3888,4783 7788
Feros Care Mackay,,,"Shop 5, 74 Wood Street",MACKAY,4740.0,QLD,Australia,1300 986 970,
Flinders Shire Council Community Care,,ccc@flinders.qld.gov.au,34 Gray Street,HUGHENDEN,4821.0,QLD,Australia,47412 960,4741 2964
Friend,,info@physiofriend.com.au,,TOWNSVILLE,4810.0,QLD,Australia,,
Fsc Community Care Program,,,PO Box 274,HUGHENDEN,4821.0,QLD,Australia,,
Giru State School,,admin@giruss.eq.edu.au,Luxton Street,GIRU,4809.0,QLD,Australia,4784 333,4782 9168
Gold City Medical Centre,,donna@goldcitymedical.com.au,89 Mosman Street,CHARTERS TOWERS,4820.0,QLD,Australia,4787 7203,4787 1105
Goldring Medical,,appointments@goldringmedical.com.au,12 Goldring Street,HERMIT PARK,4812.0,QLD,Australia,4725 2600,4725 2499
Good Beginnings Home Based Family Support Program,,,"Shakespeare Child And Family Centre, 43 Shakespeare Street",EAST MACKAY,4740.0,QLD,Australia,4957 7222,
Gordonvale Family Medical Centre,,,27 Norman Street,GORDONVALE,4865.0,QLD,Australia,4056 3600,4056 3261
Gp Smart Clinic Woree,,,1/600 Bruce Highway,WOREE,4868.0,QLD,Australia,40332525,40332520
Gp Superclinic City Superclinic Mackay,,,160 Boundary Road,OORALEA,4740.0,QLD,Australia,4952 4929,4952 2614
Gp Superclinic Townsville,,,87 Charters Towers Road,HERMIT PARK,4812.0,QLD,Australia,,
Gracemere Family Practice,,reception@thefamilypractice.com.au,"Shop 10, 1-19 McLaughlin Street, Gracemere Shopping World",GRACEMERE,4702.0,QLD,Australia,4933 3334,4933 3121
Greenfields Gp Superclinic,,,10 Grandview Drive,MOUNT PLEASANT,4740.0,QLD,Australia,4956 3477,4943 6016
HACC Richmond,,,10 Carter Street,RICHMOND,4822.0,QLD,Australia,,4741 3551
Hamilton Island Medical Centre,,HIMEDICALCENTRE@HAMILTONISLAND.COM.AU,PO Box 101,HAMILTON ISLAND,4803.0,QLD,Australia,,
Harbour Road Medical,,rwhite@occupatoinalhealthmackay.com.au,Cnr Palmer & Grendon Streets,NORTH MACKAY,4740.0,QLD,Australia,4953 2566,4953 1241
Headpsace Ashfield,,headspaceashield@newhorizons.net.au,260 Liverpool Road,ASHFIELD,2131.0,NSW,Australia,02 9193 8000,02 9193 8089
Headspace Canberra,,,"Unit 1, 1-3 Torrens Street",BRADDON,2612.0,ACT,Australia,02 5109 9700,02 6113 9057
Headspace Mackay,,mkyheadspace@naphl.com.au,"Level 2, 123 Victoria Street",MACKAY,4740.0,QLD,Australia,4898 2200,4898 2299
Headspace Mount Isa,,reception@headspacemtisa.org.au,"Headspace Mount Isa, 1/2 West Street Cnr West & Isa Streets",MOUNT ISA,4825.0,QLD,Australia,07 4437 1300,07 4437 1399
Headspace Pilbara,,info@headspacepilbara.org.au,PO Box 1241,KARRATHA,6714.0,WA,Australia,1800 290 626,
Headspace Taringa,,,P O Box 923,INDOOROOPILLY,4068.0,QLD,Australia,3157 1555,3070 7405
Headspace Townsville,,headspace@tmml.com.au,"2-14 Sporting Drive, Riverway",THURINGOWA CENTRAL,4817.0,QLD,Australia,4799 1799,4799 1798
Health And Wellbeing North Ward,,,34 Gregory Street,NORTH WARD,4810.0,QLD,Australia,,47211606
Health And Wellbeing Wulguru,,,"Shop 4, 340 Stuart Drive",WULGURU,4811.0,QLD,Australia,4778 3355,4778 3420
Health On Central,,admin@healthoncentral.com.au,26 Central Drive,ANDERGROVE,4740.0,QLD,Australia,4955 0555,4955 0993
Healthlink Family Medical Centre,,kevin@zentus.com,533 Ross River Road,CRANBROOK,4814.0,QLD,Australia,4773 3933,4723 0768
Heatley Secondary College,,,Cnr Hanlon Street & Fulham Road,HEATLEY,4814.0,QLD,Australia,4726 8333,4726 8300
Herbert Street Family Medical Centre,,reception@hsfmc.com.au,1/77 Herbert Street,BOWEN,4805.0,QLD,Australia,,4786 3855
Hermit Park Clinic And Skin Cancer Care,,hermitpark.admin@ipn.com.au,222 Charters Towers Road,HERMIT PARK,4812.0,QLD,Australia,4725 5355,4725 5025
Hermit Park State School,,,Cnr Surrey Street & Sussex Street,HYDE PARK,4812.0,QLD,Australia,4421 2222,NO FAX
Hinchinbrook Health Care,,om@hhcare.com.au,86-92 Herbert Street,INGHAM,4850.0,QLD,Australia,4776 6800,4776 6799
Holy Spirit College,,crnbrk@tsv.catholic.edu.au,Hatchett Street,CRANBROOK,4814.0,QLD,Australia,4779 4255,4779 7580
Home Hill State High School,,principal@homehillshs.eq.edu.au,First Street,HOME HILL,4806.0,QLD,Australia,4790 5666,4790 5600
Home Hill Surgery,,,67 - 69 Eighth Avenue,HOME HILL,4806.0,QLD,Australia,4782 1479,4782 1333
Hospital In Your Home,,admin@hiyh.com.au,Level 4 Clinical Practice Building,James Cook Drive Douglas,4814.0,QLD,Australia,1300 004494,44217799
Hughenden Doctors,,hughendensurgery@westnet.com.au,22 Brodie Street,HUGHENDEN,4821.0,QLD,Australia,47411446,47411085
Hughenden Hospital,,,14 Richmond Hill Drive,HUGHENDEN,4821.0,QLD,Australia,07 4741 2800,07 4741 1617
Hughenden Medical Centre,,hughendensurgery@westnet.com.au,22 Brodie Street,HUGHENDEN,4821.0,QLD,Australia,4741 1446,4741 1085
Hughenden Multi Purpose Health Service,,,Richmond Hill Drive,HUGHENDEN,4821.0,QLD,Australia,4741 2800,4741 1617
Hunter New England Local Health Network,,,Marquis Street,GUNNEDAH,2380.0,NSW,Australia,02 6741 8000,02 6740 2881
Hyde Park Medical Centre,,admin@hydeparkmc.com.au,"Suite 1, 7 Bayswater Road, Parkhaven Medical Centre",HYDE PARK,4812.0,QLD,Australia,4772 6222,4772 4487
Ideal Placements,,,"Shop 6, The Dome 134 Victoria Street",MACKAY,4740.0,QLD,Australia,4957 8177,4957 8199
Ignatius Park College,,,368 Ross River Road,CRANBROOK,4814.0,QLD,Australia,4796 0222,4796 0200
Ingham Disability Support Services,,office@inghamparentssupportgroup.org.au,Shop 3/72 Herbert Street,Ingham,4850.0,QLD,Australia,4776 3755,4776 3252
Ingham Family Medical Centre,,,22 Heard Street,INGHAM,4850.0,QLD,Australia,4776 2101,4776 6400
Ingham Health Service,,,2-16 McIlwraith Street,INGHAM,4850.0,QLD,Australia,4720 3000,4720 3051
Innisfail Family Health,,,74-76 Edith Street,INNISFAIL,4860.0,QLD,Australia,,4061 8836
Innisfail Hospital,,,87 Rankin Street,INNISFAIL,4860.0,QLD,Australia,4016 1411,4016 1260
Integrated Family And Youth Services,,,,MACKAY,4740.0,QLD,Australia,07 5438 3000 (HQ),
Jcu Health General Practice,,reception@jcuhealth.com.au,"Level 1, Clinical Practice Building, 1 James Cook Drive",JAMES COOK UNIVERSITY,4811.0,QLD,Australia,4781 4495,4779 2739
Jcu Psychology Clinic,,,"Clinical Practices Building 500, Level 2, James Cook University",DOUGLAS,4814.0,QLD,Australia,4781 4495,4779 2739
Jcu Student Equity And Wellbeing,,,"Building 18, Room 103, Jcu, 1 James Cook Drive",DOUGLAS,4814.0,QLD,Australia,4781 4711,4725 4459
Jumbun Community Health Care,,,"Lot 1, Murray Falls Road",MURRAY UPPER,4854.0,QLD,Australia,4066 1409,4066 5428
Jumbun Health Clinic,,,Bryant Street,TULLY,4854.0,QLD,Australia,,
Kelso State School,,,Yvette Street,KELSO,4815.0,QLD,Australia,4789 6222,NO FAX
Kings Road Medical Centre,,,145 Kings Road,PIMLICO,4812.0,QLD,Australia,,4755 2593
Kirwan Family Practice,,,41 Thuringowa Drive,Kirwan,4817.0,QLD,Australia,4723 5877,4723 5866
Kirwan Gp Clinic,,manager@kirwangpclinic.com.au,"Shop 4, 36 Thuringowa Dr",KIRWAN,4817.0,QLD,Australia,47235700,47554331
Kirwan Heath Campus,,,138 Thuringowa Drive,KIRWAN,4817.0,QLD,Australia,4433 9000,4433 9001
Kirwan State High School,,,Hudson Street,KIRWAN,4817.0,QLD,Australia,4773 8111,4773 8100
Kuranda Medical Centre,,,33 Barang Street,KURANDA,4881.0,QLD,Australia,,4093 7489
Latitude 19 Health,,admin@l19h.com.au,68 Sooning Street,NELLY BAY,4819.0,QLD,Australia,,4778 5718
Lifestyle Connections Association Inc,,admin@lifestyleconnections.com.au,113 - 115 Aumuller Street,BUNGALOW,4870.0,QLD,Australia,4035 6771,4035 5887
Lives Lived Well,,contactus@liveslivedwell.org.au,Park Haven Medical Centre,Hyde Park,4812.0,QLD,Australia,1300 727 957,5576 2512
Lloyds Northside Clinic,,lloydsnorthside@outlook.com,81 Phillip Street,Mackay,4740.0,QLD,Australia,4942 9910,4942 9925
Mack Family Medical Practice,,,"4 Ways, Cnr Bridge And Nebo Roads",MACKAY,4740.0,QLD,Australia,4957 6999,4953 1481
Mackat Gp Superclinic,,reception@mackaygpsuperclinic.com.au,1-3 Old Eimeo Road,RURAL VIEW,4740.0,QLD,Australia,4954 8866,4954 8322
Mackay Base Hospital,,,475 Bridge Road,MACKAY,4740.0,QLD,Australia,4885 6000,4885 6408
Mackay Base Hospital Womens Unit,,,PO Box 5580,MACKAY,4740.0,QLD,Australia,4885 7200,4885 7229
Mackay Birth Centre - Mackay Base Hospital,,,475 Bridge Road,MACKAY,4740.0,QLD,Australia,4885 6933,4885 6949
Mackay Child Protection And Investigation,,,57 Sydney St,MACKAY,4740.0,QLD,Australia,49683474,
Mackay Child Safety Service Centre,,,110 Wood Street,MACKAY,4740.0,QLD,Australia,4967 2344,4967 2352
Mackay District Community Mental Health Services,,,12-14 Nelson Street,MACKAY,4740.0,QLD,Australia,4968 3893,4968 3894
Mackay Family Medical Practice,,admin@mackayfamily.com.au,"Cnr Bridge & Nebo Roads, 142 Nebo Road",MACKAY,4740.0,QLD,Australia,4957 6999,4957 6555
Mackay Gp Superclinic,,caroline@mackaygpsuperclinic.com.au,1-3 Old Eimeo Road,RURAL VIEW,4740.0,QLD,Australia,4954 8866,4954 8322
Mackay North State High School,,,P.O Box 8333,MOUNT PLEASANT,4740.0,QLD,Australia,4963 1666,4963 1600
Mackay Northern Beaches State High School,,,PO Box 430,RURAL VIEW,4740.0,QLD,Australia,4842 1333,4840 2516
Mackay Police Station,,,57-59 Sydney Street,MACKAY,4740.0,QLD,Australia,07 4968 3444,
Mackay State High School,,,123 Milton St,MACKAY,4740.0,QLD,Australia,4957 9179,4957 9100
Madec,,madec@madec.org.au,15 Peel Street,MACKAY,4740.0,QLD,Australia,4951 1233,4951 3471
Magnetic Island State School,,the.principal@magneticislandss.eq.edu.au,10 - 16 Mandalay Avenue,NELLY BAY,4819.0,QLD,Australia,4758 2333,4758 2300
Marian Gp Superclinic,,marian@gpsclinic.com.au,"Shop 4, Marian Town Centre, 219-247 Anzac Avenue",MARIAN,4753.0,QLD,Australia,4954 3702,4954 3440
Mercy Community Services,,goodna.admin@mercycs.org.au,PO Box 3040,HERMIT PARK,4812.0,QLD,Australia,,
Middlemount Medical,,reception@middlemountmedical.com,Leichhardt Drive,MIDDLEMOUNT,4746.0,QLD,Australia,4985 9100,4985 7388
Middlemount Medical Cente,,,19 Leichhardt Drive,MIDDLEMOUNT,4746.0,QLD,Australia,4985 9100,4985 7388
Midwifery Group Practice,,TSV-MGP@health.qld.gov.au,"North Ward Health Campus, 35-38 Gregory Street",NORTH WARD,4810.0,QLD,Australia,4433 2353,4433 9641
Mirani Medical Centre,,,42 Victoria Street,MIRANI,4754.0,QLD,Australia,4959 1140,4959 1140
Mobile Intensive Rehabilitaion Team,,,138 Thuringowa Drive,KIRWAN,4817.0,QLD,Australia,4433 9863,4433 9869
Mossman Medical Centre,,portdoctors@bigpond.com,37 Front Street,MOSSMAN,4873.0,QLD,Australia,4098 1248,4098 3158
Mount Louisa Medical Centre,,lisa@tsvskin.com.au,"Shop 6 Crestbrook Plaza, 596-604 Bayswater Road",MOUNT LOUISA,4814.0,QLD,Australia,4774 2036,4774 2028
Mount Pleasant Medical And Dental,,,Shop 176 Mount Pleasant Centre 54a Phillip St,MOUNT PLEASANT,4740.0,QLD,Australia,4942 2007,4942 2003
Mount Sheridan Medical Practice,,msmp@mtsheridanmedical.com.au,6-8 George Cannon Drive,MOUNT SHERIDAN,4868.0,QLD,Australia,,4036 4222
Mt Pleasant Medical And Dental Centre,,mypmedicaldental@gmail.com,"Shop 176, 54a Phillip Street, Mt Pleasant Shopping Centre",MOUNT PLEASANT,4740.0,QLD,Australia,4942 2007,4942 2003
Mt Sheridan Medical Practice,,,6-8 George Cannon Drive,Mt Sheridan,4868.0,QLD,Australia,4036 4333,4036 4222
Mulungu Health Service,,,164 Walsh Street,MAREEBA,4880.0,QLD,Australia,0740869200,0740923228
Mundingburra Medical Centre,,mail@mundingburra-medical.com.au,128 Ross River Road,MUNDINGBURRA,4812.0,QLD,Australia,4779 0622,4725 3097
My Gp Mackay,,reception@mygpmackay.com.au,"Suite 9, Mater Medical Centre, 76 Willetts Road",MACKAY,4740.0,QLD,Australia,4942 8500,4942 8599
Napranum Phcc,,,Mounding Road,NAPRANUM,4874.0,QLD,Australia,4082 3500,4082 3555
National Disability Insurance Agency,,enquiries@ndis.gov.au,Gpo Box 700,CANBERRA,2601.0,ACT,Australia,1800 800 110,
Neami National,,contact@connecttowellbeing.org.au,"Suite 2, 56-58 Thuringowa Drive",KIRWAN,4817.0,QLD,Australia,1300 020 390,4409 2304 Townsville
Neato Employment Services,,townsville@neato.com.au,35 High Range Drive,THURINGOWA CENTRAL,4817.0,QLD,Australia,4789 9899,4723 1403
